tanggal,tahun,bulan,daerah,jumlah_kecelakaan,korban_meninggal,korban_luka_berat,korban_luka_ringan,cuaca,waktu_kejadian,jenis_kendaraan,penyebab_kecelakaan,jenis_jalan,kondisi_jalan,kecepatan_pengendara,geometri_jalan,jenis_kelamin_pengemudi,usia_pengemudi,pengaruh_alkohol
6/9/2022,2022,06,Bandung,2400,120,26,10,Cerah,Pagi,Truk,Kelalaian Pengemudi,Jalan Nasional,Berlubang,<40,Lurus,Perempuan,>50,Tidak
7/2/2024,2024,07,Yogyakarta,1674,358,23,21,Cerah,Malam,Bus,Kecepatan Berlebih,Jalan Provinsi,Berlubang,<40,Lurus,Perempuan,>50,Tidak
10/10/2022,2022,10,Surabaya,1953,380,21,7,Cerah,Malam,Motor,Rem Blong,Jalan Nasional,Berlubang,<40,Lurus,Perempuan,17-25,Ya
9/22/2021,2021,09,Bandung,3570,303,25,29,Hujan,Dini Hari,Mobil,Kondisi Jalan,Jalan Provinsi,Baik,>60,Simpang 4,Laki-laki,>50,Ya
1/8/2021,2021,01,Surabaya,4439,477,30,7,Cerah,Malam,Motor,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,40-60,Simpang 4,Laki-laki,<17,Tidak
7/1/2024,2024,07,Bandung,1017,105,22,5,Hujan,Dini Hari,Truk,Kondisi Jalan,Jalan Nasional,Berlubang,40-60,Simpang T,Laki-laki,>50,Tidak
2/6/2022,2022,02,Surabaya,4365,296,25,5,Hujan,Malam,Truk,Kelalaian Pengemudi,Jalan Nasional,Baik,40-60,Tikungan,Laki-laki,<17,Ya
6/16/2025,2025,06,Jakarta Timur,2344,275,20,30,Cerah,Pagi,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,40-60,Simpang Y,Laki-laki,17-25,Tidak
9/14/2021,2021,09,Semarang,4707,463,21,45,Hujan,Siang,Motor,Kurang Jarak Aman,Jalan Provinsi,Baik,40-60,Lurus,Perempuan,<17,Tidak
8/30/2022,2022,08,Yogyakarta,2831,305,22,5,Hujan,Malam,Motor,Rem Blong,Jalan Kota,Rusak,40-60,Simpang 4,Laki-laki,<17,Tidak
11/1/2024,2024,11,Medan,1454,457,25,7,Cerah,Pagi,Mobil,Rem Blong,Jalan Nasional,Berlubang,>60,Simpang T,Perempuan,26-45,Tidak
2/6/2024,2024,02,Surabaya,1792,167,26,8,Hujan,Malam,Truk,Kurang Jarak Aman,Jalan Nasional,Rusak,>60,Lurus,Perempuan,>50,Ya
3/18/2025,2025,03,Bekasi,1438,341,20,5,Cerah,Malam,Bus,Kondisi Jalan,Jalan Nasional,Baik,>60,Lurus,Perempuan,26-45,Tidak
6/5/2022,2022,06,Yogyakarta,2128,493,23,31,Cerah,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,>60,Simpang 4,Laki-laki,<17,Ya
10/17/2023,2023,10,Jakarta Selatan,2055,298,29,15,Hujan,Siang,Motor,Rem Blong,Jalan Provinsi,Berlubang,>60,Simpang 4,Laki-laki,>50,Ya
4/4/2021,2021,04,Bekasi,3935,263,24,16,Cerah,Malam,Bus,Rem Blong,Jalan Kota,Berlubang,40-60,Tikungan,Laki-laki,17-25,Ya
8/31/2025,2025,08,Jakarta Selatan,4153,419,22,8,Hujan,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,<40,Simpang 4,Laki-laki,<17,Tidak
3/23/2025,2025,03,Jakarta Selatan,3226,336,27,23,Cerah,Siang,Bus,Kurang Jarak Aman,Jalan Provinsi,Rusak,40-60,Lurus,Perempuan,26-45,Ya
8/2/2025,2025,08,Jakarta Selatan,4392,371,23,8,Hujan,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,>60,Tikungan,Laki-laki,26-45,Tidak
11/26/2021,2021,11,Jakarta Selatan,2423,316,26,9,Cerah,Siang,Mobil,Kurang Jarak Aman,Jalan Nasional,Berlubang,>60,Lurus,Laki-laki,17-25,Ya
11/20/2023,2023,11,Medan,1390,464,25,10,Hujan,Pagi,Mobil,Rem Blong,Jalan Provinsi,Berlubang,>60,Lurus,Perempuan,26-45,Ya
12/24/2022,2022,12,Jakarta Selatan,4412,334,28,16,Hujan,Dini Hari,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Lurus,Laki-laki,<17,Tidak
5/15/2025,2025,05,Yogyakarta,3905,362,29,48,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Kota,Rusak,40-60,Tikungan,Laki-laki,17-25,Ya
5/14/2023,2023,05,Jakarta Selatan,3902,475,29,8,Hujan,Pagi,Bus,Kurang Jarak Aman,Jalan Kota,Rusak,40-60,Simpang 4,Laki-laki,<17,Tidak
11/3/2025,2025,11,Bekasi,2967,305,23,7,Cerah,Malam,Motor,Kurang Jarak Aman,Jalan Kota,Baik,>60,Simpang 4,Laki-laki,<17,Tidak
12/10/2021,2021,12,Yogyakarta,4765,147,27,5,Hujan,Dini Hari,Bus,Kurang Jarak Aman,Jalan Provinsi,Baik,>60,Simpang 4,Perempuan,26-45,Ya
2/20/2024,2024,02,Makassar,4559,150,22,43,Hujan,Pagi,Motor,Rem Blong,Jalan Nasional,Berlubang,40-60,Simpang Y,Laki-laki,17-25,Ya
5/7/2025,2025,05,Medan,1877,421,26,18,Hujan,Siang,Truk,Kondisi Jalan,Jalan Nasional,Berlubang,<40,Simpang T,Perempuan,>50,Tidak
5/11/2024,2024,05,Yogyakarta,1684,488,28,41,Cerah,Siang,Bus,Kurang Jarak Aman,Jalan Provinsi,Berlubang,<40,Lurus,Laki-laki,<17,Ya
12/28/2022,2022,12,Yogyakarta,1589,137,26,17,Cerah,Dini Hari,Truk,Pelanggaran Lalu Lintas,Jalan Kota,Rusak,>60,Simpang T,Perempuan,17-25,Ya
9/19/2024,2024,09,Medan,2324,304,25,16,Hujan,Malam,Truk,Kecepatan Berlebih,Jalan Kota,Rusak,>60,Simpang Y,Laki-laki,17-25,Ya
11/20/2021,2021,11,Medan,2261,360,30,17,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Nasional,Rusak,40-60,Simpang Y,Perempuan,26-45,Ya
8/9/2024,2024,08,Surabaya,3770,159,22,69,Hujan,Malam,Truk,Kurang Jarak Aman,Jalan Provinsi,Berlubang,40-60,Tikungan,Perempuan,17-25,Ya
2/28/2024,2024,02,Medan,4014,498,30,33,Cerah,Pagi,Motor,Kelalaian Pengemudi,Jalan Provinsi,Rusak,<40,Simpang T,Laki-laki,<17,Ya
5/13/2021,2021,05,Bandung,2205,166,26,13,Cerah,Malam,Truk,Kondisi Jalan,Jalan Nasional,Rusak,>60,Tikungan,Perempuan,26-45,Tidak
2/6/2024,2024,02,Bekasi,4714,417,23,26,Hujan,Dini Hari,Mobil,Kecepatan Berlebih,Jalan Nasional,Berlubang,>60,Simpang Y,Laki-laki,26-45,Tidak
4/29/2025,2025,04,Medan,1963,208,27,10,Hujan,Dini Hari,Truk,Rem Blong,Jalan Nasional,Rusak,<40,Lurus,Laki-laki,17-25,Tidak
12/9/2024,2024,12,Medan,3088,186,27,5,Cerah,Pagi,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,40-60,Simpang T,Perempuan,<17,Ya
6/13/2025,2025,06,Palembang,4872,291,23,29,Cerah,Pagi,Mobil,Kurang Jarak Aman,Jalan Nasional,Baik,<40,Tikungan,Laki-laki,26-45,Ya
1/12/2023,2023,01,Makassar,2839,365,20,3,Cerah,Pagi,Mobil,Kelalaian Pengemudi,Jalan Provinsi,Berlubang,40-60,Simpang T,Laki-laki,<17,Ya
4/21/2024,2024,04,Jakarta Timur,4281,220,27,11,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Baik,>60,Simpang T,Laki-laki,26-45,Ya
2/7/2023,2023,02,Surabaya,3444,430,25,7,Hujan,Pagi,Bus,Kondisi Jalan,Jalan Provinsi,Rusak,<40,Lurus,Laki-laki,<17,Ya
7/4/2025,2025,07,Makassar,3037,197,21,5,Hujan,Malam,Motor,Kecepatan Berlebih,Jalan Nasional,Berlubang,40-60,Simpang Y,Perempuan,<17,Ya
4/5/2023,2023,04,Jakarta Timur,4733,244,20,31,Cerah,Siang,Mobil,Kelalaian Pengemudi,Jalan Provinsi,Rusak,40-60,Tikungan,Laki-laki,<17,Tidak
11/12/2024,2024,11,Medan,2730,187,24,3,Cerah,Malam,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,40-60,Simpang T,Perempuan,<17,Ya
2/19/2022,2022,02,Makassar,2086,263,30,17,Hujan,Pagi,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,>60,Simpang Y,Perempuan,<17,Tidak
1/29/2021,2021,01,Yogyakarta,4540,450,21,29,Hujan,Dini Hari,Bus,Kecepatan Berlebih,Jalan Kota,Baik,<40,Simpang Y,Perempuan,<17,Ya
6/19/2024,2024,06,Bekasi,1203,183,21,8,Hujan,Dini Hari,Bus,Kelalaian Pengemudi,Jalan Kota,Baik,>60,Simpang 4,Laki-laki,>50,Ya
10/5/2025,2025,10,Yogyakarta,1263,389,27,19,Hujan,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,<40,Tikungan,Laki-laki,>50,Tidak
12/9/2023,2023,12,Medan,4626,134,27,40,Cerah,Malam,Mobil,Rem Blong,Jalan Kota,Baik,<40,Simpang 4,Laki-laki,17-25,Ya
6/10/2023,2023,06,Jakarta Timur,2430,429,28,51,Cerah,Siang,Truk,Kurang Jarak Aman,Jalan Provinsi,Rusak,>60,Simpang 4,Laki-laki,>50,Tidak
9/22/2025,2025,09,Jakarta Timur,3336,194,25,18,Cerah,Malam,Mobil,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,40-60,Simpang T,Laki-laki,<17,Ya
7/31/2022,2022,07,Semarang,3615,362,25,55,Cerah,Siang,Bus,Kondisi Jalan,Jalan Provinsi,Rusak,<40,Simpang 4,Laki-laki,<17,Tidak
12/22/2024,2024,12,Medan,4566,269,27,7,Cerah,Dini Hari,Bus,Rem Blong,Jalan Kota,Baik,40-60,Simpang T,Perempuan,>50,Tidak
9/20/2022,2022,09,Surabaya,4506,198,29,19,Hujan,Pagi,Bus,Kurang Jarak Aman,Jalan Kota,Berlubang,<40,Simpang T,Perempuan,>50,Ya
4/3/2023,2023,04,Semarang,1556,429,24,5,Hujan,Siang,Bus,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,>60,Tikungan,Laki-laki,17-25,Tidak
1/10/2022,2022,01,Yogyakarta,2714,335,23,18,Hujan,Siang,Mobil,Kondisi Jalan,Jalan Provinsi,Berlubang,40-60,Tikungan,Perempuan,26-45,Tidak
9/5/2024,2024,09,Makassar,1000,118,27,20,Cerah,Dini Hari,Truk,Kecepatan Berlebih,Jalan Nasional,Berlubang,<40,Simpang 4,Laki-laki,<17,Ya
3/28/2025,2025,03,Makassar,4461,371,22,10,Hujan,Siang,Bus,Kelalaian Pengemudi,Jalan Nasional,Berlubang,<40,Tikungan,Laki-laki,>50,Tidak
6/13/2023,2023,06,Jakarta Selatan,3274,492,22,44,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,>60,Lurus,Laki-laki,17-25,Ya
3/24/2021,2021,03,Medan,3620,128,25,10,Hujan,Malam,Mobil,Rem Blong,Jalan Provinsi,Baik,40-60,Lurus,Perempuan,17-25,Ya
4/28/2021,2021,04,Semarang,4820,357,23,34,Cerah,Siang,Motor,Rem Blong,Jalan Nasional,Baik,40-60,Simpang Y,Laki-laki,<17,Ya
1/25/2024,2024,01,Jakarta Timur,3439,197,27,65,Cerah,Malam,Mobil,Kondisi Jalan,Jalan Kota,Berlubang,>60,Simpang 4,Perempuan,17-25,Ya
6/5/2022,2022,06,Makassar,4681,339,28,37,Hujan,Malam,Truk,Kurang Jarak Aman,Jalan Nasional,Baik,>60,Lurus,Perempuan,<17,Tidak
7/19/2024,2024,07,Semarang,3233,186,30,14,Hujan,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Simpang Y,Laki-laki,26-45,Ya
3/24/2022,2022,03,Yogyakarta,4224,363,25,35,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,>60,Simpang 4,Laki-laki,17-25,Ya
9/20/2021,2021,09,Bandung,4512,329,21,28,Hujan,Pagi,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,<40,Simpang 4,Perempuan,26-45,Ya
12/9/2022,2022,12,Bandung,3979,254,26,25,Hujan,Malam,Mobil,Kondisi Jalan,Jalan Nasional,Berlubang,>60,Simpang 4,Laki-laki,26-45,Ya
7/3/2022,2022,07,Surabaya,3996,316,20,32,Cerah,Pagi,Truk,Kurang Jarak Aman,Jalan Nasional,Baik,<40,Lurus,Laki-laki,26-45,Ya
8/20/2024,2024,08,Jakarta Selatan,4637,335,28,27,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Baik,>60,Simpang Y,Perempuan,26-45,Ya
3/8/2025,2025,03,Medan,1282,109,27,6,Hujan,Dini Hari,Motor,Kondisi Jalan,Jalan Nasional,Baik,<40,Simpang Y,Perempuan,<17,Ya
6/16/2021,2021,06,Makassar,1849,289,22,60,Hujan,Malam,Motor,Kelalaian Pengemudi,Jalan Nasional,Baik,>60,Lurus,Laki-laki,>50,Ya
4/28/2022,2022,04,Palembang,2786,106,25,38,Cerah,Pagi,Truk,Kelalaian Pengemudi,Jalan Provinsi,Baik,<40,Simpang 4,Laki-laki,<17,Ya
8/1/2022,2022,08,Semarang,1126,322,26,60,Cerah,Siang,Truk,Rem Blong,Jalan Provinsi,Berlubang,<40,Tikungan,Perempuan,<17,Ya
3/28/2022,2022,03,Bandung,1960,496,20,32,Cerah,Malam,Motor,Kondisi Jalan,Jalan Kota,Berlubang,>60,Lurus,Perempuan,>50,Ya
6/19/2024,2024,06,Semarang,1759,145,28,32,Hujan,Siang,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,40-60,Simpang T,Perempuan,>50,Ya
2/1/2022,2022,02,Yogyakarta,3698,303,29,20,Hujan,Malam,Motor,Kecepatan Berlebih,Jalan Nasional,Baik,40-60,Simpang 4,Laki-laki,17-25,Tidak
6/27/2024,2024,06,Jakarta Selatan,3613,261,25,20,Hujan,Siang,Bus,Kondisi Jalan,Jalan Kota,Rusak,<40,Lurus,Perempuan,<17,Ya
7/4/2021,2021,07,Medan,3499,293,29,4,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,<40,Tikungan,Perempuan,26-45,Ya
9/12/2021,2021,09,Palembang,1303,140,21,4,Hujan,Siang,Motor,Kelalaian Pengemudi,Jalan Nasional,Baik,40-60,Tikungan,Laki-laki,>50,Ya
9/3/2025,2025,09,Palembang,4575,385,25,2,Cerah,Malam,Motor,Kecepatan Berlebih,Jalan Nasional,Baik,<40,Simpang Y,Laki-laki,>50,Ya
10/16/2022,2022,10,Bekasi,3830,148,24,21,Cerah,Pagi,Mobil,Kondisi Jalan,Jalan Nasional,Rusak,>60,Simpang Y,Perempuan,17-25,Ya
2/18/2024,2024,02,Palembang,2051,130,20,45,Cerah,Malam,Bus,Kelalaian Pengemudi,Jalan Kota,Rusak,40-60,Simpang Y,Perempuan,17-25,Tidak
2/11/2021,2021,02,Jakarta Selatan,4728,361,25,62,Hujan,Dini Hari,Truk,Kecepatan Berlebih,Jalan Provinsi,Baik,40-60,Simpang T,Laki-laki,<17,Ya
11/5/2024,2024,11,Makassar,4993,335,28,40,Cerah,Malam,Bus,Rem Blong,Jalan Nasional,Rusak,<40,Simpang 4,Perempuan,>50,Tidak
1/13/2023,2023,01,Makassar,2809,194,23,55,Hujan,Dini Hari,Mobil,Kondisi Jalan,Jalan Nasional,Berlubang,<40,Simpang T,Laki-laki,<17,Tidak
9/20/2022,2022,09,Makassar,4145,448,22,28,Hujan,Malam,Truk,Kelalaian Pengemudi,Jalan Provinsi,Baik,40-60,Tikungan,Laki-laki,17-25,Ya
2/25/2024,2024,02,Jakarta Selatan,1403,305,26,7,Hujan,Dini Hari,Truk,Kurang Jarak Aman,Jalan Nasional,Rusak,<40,Simpang Y,Laki-laki,17-25,Ya
2/15/2025,2025,02,Bandung,1673,174,25,9,Hujan,Malam,Truk,Rem Blong,Jalan Kota,Rusak,<40,Simpang T,Perempuan,<17,Tidak
4/2/2023,2023,04,Surabaya,2951,257,29,0,Hujan,Malam,Bus,Kecepatan Berlebih,Jalan Provinsi,Rusak,40-60,Simpang T,Laki-laki,>50,Ya
10/28/2025,2025,10,Bekasi,4183,153,30,3,Cerah,Dini Hari,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,40-60,Simpang Y,Laki-laki,>50,Ya
10/20/2022,2022,10,Jakarta Selatan,1260,347,28,29,Hujan,Siang,Truk,Kelalaian Pengemudi,Jalan Nasional,Baik,<40,Simpang 4,Laki-laki,26-45,Tidak
4/21/2023,2023,04,Makassar,4779,184,22,2,Cerah,Malam,Motor,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,40-60,Simpang T,Perempuan,26-45,Ya
1/30/2025,2025,01,Jakarta Timur,3871,257,21,9,Cerah,Siang,Motor,Kecepatan Berlebih,Jalan Provinsi,Rusak,<40,Lurus,Laki-laki,>50,Tidak
7/26/2021,2021,07,Makassar,3595,233,25,5,Hujan,Pagi,Truk,Kondisi Jalan,Jalan Provinsi,Baik,40-60,Lurus,Perempuan,26-45,Tidak
7/30/2023,2023,07,Makassar,4527,493,21,10,Hujan,Pagi,Bus,Kelalaian Pengemudi,Jalan Provinsi,Berlubang,>60,Lurus,Perempuan,26-45,Ya
8/8/2021,2021,08,Surabaya,3523,387,30,69,Cerah,Pagi,Motor,Kurang Jarak Aman,Jalan Kota,Berlubang,<40,Simpang T,Perempuan,26-45,Ya
7/9/2024,2024,07,Palembang,4849,118,25,15,Cerah,Pagi,Mobil,Kondisi Jalan,Jalan Nasional,Baik,<40,Simpang 4,Laki-laki,17-25,Tidak
7/15/2021,2021,07,Medan,1829,494,23,52,Cerah,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,>60,Simpang 4,Laki-laki,>50,Tidak
9/10/2023,2023,09,Palembang,1077,500,29,8,Hujan,Dini Hari,Bus,Kecepatan Berlebih,Jalan Nasional,Baik,>60,Simpang T,Perempuan,26-45,Ya
6/15/2024,2024,06,Palembang,4945,222,28,44,Cerah,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Simpang Y,Perempuan,>50,Tidak
9/16/2025,2025,09,Jakarta Selatan,4510,368,25,40,Hujan,Malam,Bus,Kecepatan Berlebih,Jalan Nasional,Berlubang,>60,Simpang Y,Perempuan,26-45,Ya
3/16/2024,2024,03,Bandung,3823,106,24,38,Hujan,Dini Hari,Motor,Kelalaian Pengemudi,Jalan Provinsi,Rusak,<40,Tikungan,Perempuan,17-25,Ya
9/7/2025,2025,09,Yogyakarta,3676,172,27,40,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Provinsi,Baik,40-60,Tikungan,Laki-laki,>50,Tidak
5/25/2024,2024,05,Jakarta Selatan,4753,279,20,3,Hujan,Malam,Motor,Kelalaian Pengemudi,Jalan Kota,Baik,<40,Simpang 4,Laki-laki,26-45,Tidak
4/30/2021,2021,04,Surabaya,3358,141,24,27,Cerah,Siang,Mobil,Rem Blong,Jalan Nasional,Berlubang,>60,Simpang Y,Perempuan,>50,Ya
11/18/2023,2023,11,Jakarta Selatan,4593,465,27,18,Cerah,Pagi,Truk,Kecepatan Berlebih,Jalan Kota,Baik,40-60,Lurus,Perempuan,17-25,Ya
3/16/2022,2022,03,Jakarta Selatan,2797,299,23,33,Cerah,Siang,Mobil,Kondisi Jalan,Jalan Kota,Rusak,>60,Simpang Y,Perempuan,>50,Tidak
7/27/2025,2025,07,Surabaya,4544,442,25,38,Cerah,Dini Hari,Truk,Kurang Jarak Aman,Jalan Nasional,Berlubang,>60,Simpang Y,Laki-laki,>50,Ya
9/17/2025,2025,09,Medan,4270,352,24,18,Hujan,Dini Hari,Motor,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,<40,Simpang Y,Laki-laki,17-25,Tidak
10/12/2025,2025,10,Jakarta Selatan,1741,315,21,24,Cerah,Malam,Mobil,Rem Blong,Jalan Kota,Rusak,<40,Simpang 4,Perempuan,<17,Tidak
10/8/2021,2021,10,Jakarta Selatan,1988,283,23,24,Cerah,Pagi,Bus,Kurang Jarak Aman,Jalan Nasional,Rusak,<40,Lurus,Laki-laki,>50,Ya
10/15/2024,2024,10,Jakarta Selatan,4169,296,30,42,Cerah,Siang,Bus,Kelalaian Pengemudi,Jalan Provinsi,Berlubang,40-60,Lurus,Laki-laki,17-25,Ya
8/22/2023,2023,08,Makassar,3404,365,23,24,Hujan,Malam,Mobil,Kelalaian Pengemudi,Jalan Provinsi,Berlubang,<40,Simpang T,Laki-laki,<17,Tidak
3/17/2022,2022,03,Surabaya,2183,420,30,44,Hujan,Pagi,Motor,Kondisi Jalan,Jalan Nasional,Rusak,<40,Simpang 4,Laki-laki,>50,Ya
4/6/2024,2024,04,Bekasi,1617,459,25,21,Hujan,Dini Hari,Mobil,Kelalaian Pengemudi,Jalan Nasional,Baik,<40,Simpang 4,Laki-laki,17-25,Ya
3/29/2025,2025,03,Jakarta Selatan,3012,131,29,15,Cerah,Pagi,Bus,Kelalaian Pengemudi,Jalan Nasional,Baik,40-60,Tikungan,Perempuan,>50,Tidak
11/11/2023,2023,11,Yogyakarta,1468,194,26,19,Cerah,Pagi,Motor,Kurang Jarak Aman,Jalan Nasional,Rusak,<40,Lurus,Perempuan,<17,Tidak
3/20/2025,2025,03,Makassar,4455,300,26,27,Cerah,Dini Hari,Truk,Kecepatan Berlebih,Jalan Nasional,Baik,>60,Tikungan,Laki-laki,>50,Tidak
5/15/2023,2023,05,Medan,4637,271,25,29,Hujan,Siang,Truk,Rem Blong,Jalan Kota,Rusak,40-60,Simpang Y,Laki-laki,<17,Ya
6/6/2022,2022,06,Bekasi,1778,235,28,18,Hujan,Dini Hari,Motor,Kelalaian Pengemudi,Jalan Provinsi,Rusak,<40,Tikungan,Perempuan,>50,Tidak
1/11/2025,2025,01,Semarang,4309,380,26,44,Cerah,Pagi,Mobil,Rem Blong,Jalan Nasional,Berlubang,40-60,Tikungan,Perempuan,17-25,Ya
4/15/2023,2023,04,Bandung,2495,139,23,19,Hujan,Siang,Bus,Kondisi Jalan,Jalan Nasional,Berlubang,<40,Tikungan,Laki-laki,<17,Ya
2/23/2025,2025,02,Jakarta Timur,1933,463,26,24,Cerah,Pagi,Motor,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,40-60,Simpang T,Perempuan,>50,Tidak
7/16/2022,2022,07,Yogyakarta,2719,389,29,14,Cerah,Dini Hari,Motor,Rem Blong,Jalan Nasional,Rusak,>60,Simpang T,Perempuan,>50,Ya
12/17/2025,2025,12,Makassar,1217,203,24,13,Cerah,Dini Hari,Mobil,Rem Blong,Jalan Provinsi,Baik,<40,Simpang T,Perempuan,26-45,Ya
