tanggal,tahun,bulan,daerah,jumlah_kecelakaan,korban_meninggal,korban_luka_berat,korban_luka_ringan,cuaca,waktu_kejadian,jenis_kendaraan,penyebab_kecelakaan,jenis_jalan,kondisi_jalan,kecepatan_pengendara,geometri_jalan,jenis_kelamin_pengemudi,usia_pengemudi,pengaruh_alkohol,jenis_angkutan,status_kecelakaan,status_korban,eligible_santunan,dasar_hukum,jenis_santunan,estimasi_biaya_santunan
11/1/2024,2024,11,Medan,719,457,25,7,Cerah,Pagi,Mobil,Rem Blong,Jalan Nasional,Berlubang,>60,Simpang T,Perempuan,26-45,Tidak,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
2/6/2024,2024,2,Surabaya,574,167,26,8,Hujan,Malam,Truk,Kurang Jarak Aman,Jalan Nasional,Rusak,>60,Lurus,Perempuan,>50,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
3/18/2025,2025,3,Bekasi,770,341,20,5,Cerah,Malam,Bus,Kondisi Jalan,Jalan Nasional,Baik,>60,Lurus,Perempuan,26-45,Tidak,umum,tunggal,penumpang,ya,UU 33/1964,meninggal,18150000000
6/5/2022,2022,6,Yogyakarta,608,493,23,31,Cerah,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,>60,Simpang 4,Laki-laki,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,26420000000
10/17/2023,2023,10,Jakarta Selatan,538,298,29,15,Hujan,Siang,Motor,Rem Blong,Jalan Provinsi,Berlubang,>60,Simpang 4,Laki-laki,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16650000000
4/4/2021,2021,4,Bekasi,337,263,24,16,Cerah,Malam,Bus,Rem Blong,Jalan Kota,Berlubang,40-60,Tikungan,Laki-laki,17-25,Ya,umum,tunggal,penumpang,ya,UU 33/1964,meninggal,14670000000
8/31/2025,2025,8,Jakarta Selatan,832,419,22,8,Hujan,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,<40,Simpang 4,Laki-laki,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,22210000000
3/23/2025,2025,3,Jakarta Selatan,680,336,27,23,Cerah,Siang,Bus,Kurang Jarak Aman,Jalan Provinsi,Rusak,40-60,Lurus,Perempuan,26-45,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,18610000000
8/2/2025,2025,8,Jakarta Selatan,832,371,23,8,Hujan,Siang,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,>60,Tikungan,Laki-laki,26-45,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,19860000000
11/26/2021,2021,11,Jakarta Selatan,369,316,26,9,Cerah,Siang,Mobil,Kurang Jarak Aman,Jalan Nasional,Berlubang,>60,Lurus,Laki-laki,17-25,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,17280000000
11/20/2023,2023,11,Medan,617,464,25,10,Hujan,Pagi,Mobil,Rem Blong,Jalan Provinsi,Berlubang,>60,Lurus,Perempuan,26-45,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
12/24/2022,2022,12,Jakarta Selatan,725,334,28,16,Hujan,Dini Hari,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Lurus,Laki-laki,<17,Tidak,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,18420000000
5/15/2025,2025,5,Yogyakarta,712,362,29,48,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Kota,Rusak,40-60,Tikungan,Laki-laki,17-25,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
5/14/2023,2023,5,Jakarta Selatan,590,475,29,8,Hujan,Pagi,Bus,Kurang Jarak Aman,Jalan Kota,Rusak,40-60,Simpang 4,Laki-laki,<17,Tidak,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,25360000000
11/3/2025,2025,11,Bekasi,783,305,23,7,Cerah,Malam,Motor,Kurang Jarak Aman,Jalan Kota,Baik,>60,Simpang 4,Laki-laki,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16540000000
12/10/2021,2021,12,Yogyakarta,624,147,27,5,Hujan,Dini Hari,Bus,Kurang Jarak Aman,Jalan Provinsi,Baik,>60,Simpang 4,Perempuan,26-45,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,8800000000
2/20/2024,2024,2,Makassar,655,150,22,43,Hujan,Pagi,Motor,Rem Blong,Jalan Nasional,Berlubang,40-60,Simpang Y,Laki-laki,17-25,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,9460000000
5/7/2025,2025,5,Medan,702,421,26,18,Hujan,Siang,Truk,Kondisi Jalan,Jalan Nasional,Berlubang,<40,Simpang T,Perempuan,>50,Tidak,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
5/11/2024,2024,5,Yogyakarta,568,488,28,41,Cerah,Siang,Bus,Kurang Jarak Aman,Jalan Provinsi,Berlubang,<40,Lurus,Laki-laki,<17,Ya,umum,tunggal,penumpang,ya,UU 33/1964,meninggal,26620000000
12/28/2022,2022,12,Yogyakarta,678,137,26,17,Cerah,Dini Hari,Truk,Pelanggaran Lalu Lintas,Jalan Kota,Rusak,>60,Simpang T,Perempuan,17-25,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
9/19/2024,2024,9,Medan,709,304,25,16,Hujan,Malam,Truk,Kecepatan Berlebih,Jalan Kota,Rusak,>60,Simpang Y,Laki-laki,17-25,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
11/20/2021,2021,11,Medan,339,360,30,17,Hujan,Siang,Mobil,Kecepatan Berlebih,Jalan Nasional,Rusak,40-60,Simpang Y,Perempuan,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,19840000000
8/9/2024,2024,8,Surabaya,719,159,22,69,Hujan,Malam,Truk,Kurang Jarak Aman,Jalan Provinsi,Berlubang,40-60,Tikungan,Perempuan,17-25,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
2/28/2024,2024,2,Medan,559,498,30,33,Cerah,Pagi,Motor,Kelalaian Pengemudi,Jalan Provinsi,Rusak,<40,Simpang T,Laki-laki,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,27060000000
5/13/2021,2021,5,Bandung,281,166,26,13,Cerah,Malam,Truk,Kondisi Jalan,Jalan Nasional,Rusak,>60,Tikungan,Perempuan,26-45,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,9860000000
2/6/2024,2024,2,Bekasi,602,417,23,26,Hujan,Dini Hari,Mobil,Kecepatan Berlebih,Jalan Nasional,Berlubang,>60,Simpang Y,Laki-laki,26-45,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,22520000000
4/29/2025,2025,4,Medan,704,208,27,10,Hujan,Dini Hari,Truk,Rem Blong,Jalan Nasional,Rusak,<40,Lurus,Laki-laki,17-25,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,11950000000
12/9/2024,2024,12,Medan,1044,186,27,5,Cerah,Pagi,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,40-60,Simpang T,Perempuan,<17,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,10750000000
6/13/2025,2025,6,Palembang,940,291,23,29,Cerah,Pagi,Mobil,Kurang Jarak Aman,Jalan Nasional,Baik,<40,Tikungan,Laki-laki,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16280000000
1/12/2023,2023,1,Makassar,482,365,20,3,Cerah,Pagi,Mobil,Kelalaian Pengemudi,Jalan Provinsi,Berlubang,40-60,Simpang T,Laki-laki,<17,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
4/21/2024,2024,4,Jakarta Timur,624,220,27,11,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Baik,>60,Simpang T,Laki-laki,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,12570000000
2/7/2023,2023,2,Surabaya,503,430,25,7,Hujan,Pagi,Bus,Kondisi Jalan,Jalan Provinsi,Rusak,<40,Lurus,Laki-laki,<17,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,22890000000
7/4/2025,2025,7,Makassar,778,197,21,5,Hujan,Malam,Motor,Kecepatan Berlebih,Jalan Nasional,Berlubang,40-60,Simpang Y,Perempuan,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,11000000000
4/5/2023,2023,4,Jakarta Timur,452,244,20,31,Cerah,Siang,Mobil,Kelalaian Pengemudi,Jalan Provinsi,Rusak,40-60,Tikungan,Laki-laki,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,13820000000
11/12/2024,2024,11,Medan,688,187,24,3,Cerah,Malam,Truk,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,40-60,Simpang T,Perempuan,<17,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
2/19/2022,2022,2,Makassar,327,263,30,17,Hujan,Pagi,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,>60,Simpang Y,Perempuan,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,14990000000
1/29/2021,2021,1,Yogyakarta,269,450,21,29,Hujan,Dini Hari,Bus,Kecepatan Berlebih,Jalan Kota,Baik,<40,Simpang Y,Perempuan,<17,Ya,umum,tunggal,penumpang,ya,UU 33/1964,meninggal,24130000000
6/19/2024,2024,6,Bekasi,834,183,21,8,Hujan,Dini Hari,Bus,Kelalaian Pengemudi,Jalan Kota,Baik,>60,Simpang 4,Laki-laki,>50,Ya,umum,tunggal,penumpang,ya,UU 33/1964,meninggal,10360000000
10/5/2025,2025,10,Yogyakarta,884,389,27,19,Hujan,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,<40,Tikungan,Laki-laki,>50,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,21180000000
12/9/2023,2023,12,Medan,827,134,27,40,Cerah,Malam,Mobil,Rem Blong,Jalan Kota,Baik,<40,Simpang 4,Laki-laki,17-25,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,8850000000
6/10/2023,2023,6,Jakarta Timur,791,429,28,51,Cerah,Siang,Truk,Kurang Jarak Aman,Jalan Provinsi,Rusak,>60,Simpang 4,Laki-laki,>50,Tidak,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
9/22/2025,2025,9,Jakarta Timur,837,194,25,18,Cerah,Malam,Mobil,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,40-60,Simpang T,Laki-laki,<17,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
7/31/2022,2022,7,Semarang,495,362,25,55,Cerah,Siang,Bus,Kondisi Jalan,Jalan Provinsi,Rusak,<40,Simpang 4,Laki-laki,<17,Tidak,umum,tunggal,penumpang,ya,UU 33/1964,meninggal,20450000000
12/22/2024,2024,12,Medan,948,269,27,7,Cerah,Dini Hari,Bus,Rem Blong,Jalan Kota,Baik,40-60,Simpang T,Perempuan,>50,Tidak,umum,tunggal,penumpang,ya,UU 33/1964,meninggal,14940000000
9/20/2022,2022,9,Surabaya,458,198,29,19,Hujan,Pagi,Bus,Kurang Jarak Aman,Jalan Kota,Berlubang,<40,Simpang T,Perempuan,>50,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,11730000000
4/3/2023,2023,4,Semarang,552,429,24,5,Hujan,Siang,Bus,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,>60,Tikungan,Laki-laki,17-25,Tidak,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,22750000000
1/10/2022,2022,1,Yogyakarta,374,335,23,18,Hujan,Siang,Mobil,Kondisi Jalan,Jalan Provinsi,Berlubang,40-60,Tikungan,Perempuan,26-45,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,18260000000
9/5/2024,2024,9,Makassar,702,118,27,20,Cerah,Dini Hari,Truk,Kecepatan Berlebih,Jalan Nasional,Berlubang,<40,Simpang 4,Laki-laki,<17,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
3/28/2025,2025,3,Makassar,651,371,22,10,Hujan,Siang,Bus,Kelalaian Pengemudi,Jalan Nasional,Berlubang,<40,Tikungan,Laki-laki,>50,Tidak,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,19850000000
6/13/2023,2023,6,Jakarta Selatan,795,492,22,44,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,>60,Lurus,Laki-laki,17-25,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,26580000000
3/24/2021,2021,3,Medan,272,128,25,10,Hujan,Malam,Mobil,Rem Blong,Jalan Provinsi,Baik,40-60,Lurus,Perempuan,17-25,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,7850000000
4/28/2021,2021,4,Semarang,275,357,23,34,Cerah,Siang,Motor,Rem Blong,Jalan Nasional,Baik,40-60,Simpang Y,Laki-laki,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,19680000000
1/25/2024,2024,1,Jakarta Timur,496,197,27,65,Cerah,Malam,Mobil,Kondisi Jalan,Jalan Kota,Berlubang,>60,Simpang 4,Perempuan,17-25,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,12500000000
6/5/2022,2022,6,Makassar,646,339,28,37,Hujan,Malam,Truk,Kurang Jarak Aman,Jalan Nasional,Baik,>60,Lurus,Perempuan,<17,Tidak,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
7/19/2024,2024,7,Semarang,599,186,30,14,Hujan,Dini Hari,Mobil,Pelanggaran Lalu Lintas,Jalan Provinsi,Baik,<40,Simpang Y,Laki-laki,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,11080000000
3/24/2022,2022,3,Yogyakarta,431,363,25,35,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Berlubang,>60,Simpang 4,Laki-laki,17-25,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
9/20/2021,2021,9,Bandung,410,329,21,28,Hujan,Pagi,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,<40,Simpang 4,Perempuan,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,18060000000
12/9/2022,2022,12,Bandung,686,254,26,25,Hujan,Malam,Mobil,Kondisi Jalan,Jalan Nasional,Berlubang,>60,Simpang 4,Laki-laki,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,14500000000
7/3/2022,2022,7,Surabaya,415,316,20,32,Cerah,Pagi,Truk,Kurang Jarak Aman,Jalan Nasional,Baik,<40,Lurus,Laki-laki,26-45,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
8/20/2024,2024,8,Jakarta Selatan,696,335,28,27,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Baik,>60,Simpang Y,Perempuan,26-45,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
3/8/2025,2025,3,Medan,709,109,27,6,Hujan,Dini Hari,Motor,Kondisi Jalan,Jalan Nasional,Baik,<40,Simpang Y,Perempuan,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,6920000000
6/16/2021,2021,6,Makassar,530,289,22,60,Hujan,Malam,Motor,Kelalaian Pengemudi,Jalan Nasional,Baik,>60,Lurus,Laki-laki,>50,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
4/28/2022,2022,4,Palembang,432,106,25,38,Cerah,Pagi,Truk,Kelalaian Pengemudi,Jalan Provinsi,Baik,<40,Simpang 4,Laki-laki,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,7310000000
8/1/2022,2022,8,Semarang,402,322,26,60,Cerah,Siang,Truk,Rem Blong,Jalan Provinsi,Berlubang,<40,Tikungan,Perempuan,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,18600000000
3/28/2022,2022,3,Bandung,370,496,20,32,Cerah,Malam,Motor,Kondisi Jalan,Jalan Kota,Berlubang,>60,Lurus,Perempuan,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,26440000000
6/19/2024,2024,6,Semarang,893,145,28,32,Hujan,Siang,Mobil,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,40-60,Simpang T,Perempuan,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,9290000000
2/1/2022,2022,2,Yogyakarta,422,303,29,20,Hujan,Malam,Motor,Kecepatan Berlebih,Jalan Nasional,Baik,40-60,Simpang 4,Laki-laki,17-25,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,17000000000
6/27/2024,2024,6,Jakarta Selatan,823,261,25,20,Hujan,Siang,Bus,Kondisi Jalan,Jalan Kota,Rusak,<40,Lurus,Perempuan,<17,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,14700000000
7/4/2021,2021,7,Medan,357,293,29,4,Cerah,Pagi,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,<40,Tikungan,Perempuan,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16180000000
9/12/2021,2021,9,Palembang,322,140,21,4,Hujan,Siang,Motor,Kelalaian Pengemudi,Jalan Nasional,Baik,40-60,Tikungan,Laki-laki,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,8130000000
9/3/2025,2025,9,Palembang,856,385,25,2,Cerah,Malam,Motor,Kecepatan Berlebih,Jalan Nasional,Baik,<40,Simpang Y,Laki-laki,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,20540000000
